"year","ncell","min.val","max.val","dd_mean","dd_sd"
1993,18,"","1993",186.542725880941,235.048474552946
1994,46,"","1994",145.721731476162,138.186667609089
1995,150,"","1995",526.684945844014,463.196895803813
1996,18,"","1996",209.825409253438,243.369972799806
1997,29,"","1997",187.817440230271,194.559641831033
1998,19,"","1998",160.362119674683,222.905593957448
1999,230,"","1999",521.906547007353,426.777225934472
2000,57,"","2000",326.496593876889,275.711556471068
2001,176,"","2001",206.056132349101,226.76928353026
2002,106,"","2002",365.534975609689,379.626612671709
2003,49,"","2003",224.028881189774,173.024582928997
2004,63,"","2004",289.756853012812,228.951867592896
2005,45,"","2005",126.144104215834,177.699990454393
2006,88,"","2006",305.456500421871,259.578433264479
2007,20,"","2007",215.229894256592,283.041844587597
2008,165,"","2008",297.282709156383,268.988115037063
2009,104,"","2009",312.512131672639,246.557387374594
2010,39,"","2010",131.406294944959,153.585302679238
2011,111,"","2011",283.074733149898,282.295444152482
2012,53,"","2012",396.942600106293,400.243174101578
2013,73,"","2013",146.715387710153,195.238204008384
2014,249,"","2014",619.767120591129,415.53756106355
2015,471,"","2015",383.215197553047,308.771612513036
2016,190,"","2016",372.612884280556,280.250753562094
2017,183,"","2017",363.325043631382,332.62427705833
2018,87,"","2018",456.901485618504,332.710023612573
2019,493,"","2019",421.720877401727,285.765885130858
2020,199,"","2020",401.570309231629,303.759104615016
2021,94,"","2021",176.560274529964,247.862707962522
2022,240,"","2022",198.087707328796,187.557529414924
2023,264,"","2023",300.08991375114,233.370465864848
