"year","ncell","min.val","max.val","dd_mean","dd_sd"
1993,0,"BI","0",NA,NA
1997,0,"BI","0",NA,NA
2001,0,"BI","0",NA,NA
2005,0,"BI","0",NA,NA
2009,0,"BI","0",NA,NA
2013,0,"BI","0",NA,NA
2017,0,"BI","0",NA,NA
2021,0,"BI","0",NA,NA
1994,0,"BI","0",NA,NA
1998,0,"BI","0",NA,NA
2002,0,"BI","0",NA,NA
2006,0,"BI","0",NA,NA
2010,0,"BI","0",NA,NA
2014,0,"BI","0",NA,NA
2018,0,"BI","0",NA,NA
2022,0,"BI","0",NA,NA
1995,0,"BI","0",NA,NA
1999,0,"BI","0",NA,NA
2003,0,"BI","0",NA,NA
2007,0,"BI","0",NA,NA
2011,0,"BI","0",NA,NA
2015,0,"BI","0",NA,NA
2019,0,"BI","0",NA,NA
2023,0,"BI","0",NA,NA
1996,0,"BI","0",NA,NA
2000,0,"BI","0",NA,NA
2004,4,"BI","0",10.430143237114,3.98274262375242
2008,0,"BI","0",NA,NA
2012,0,"BI","0",NA,NA
2016,0,"BI","0",NA,NA
2020,0,"BI","0",NA,NA
1993,0,"BI","LT80",NA,NA
1997,0,"BI","LT80",NA,NA
2001,0,"BI","LT80",NA,NA
2005,0,"BI","LT80",NA,NA
2009,0,"BI","LT80",NA,NA
2013,0,"BI","LT80",NA,NA
2017,0,"BI","LT80",NA,NA
2021,0,"BI","LT80",NA,NA
1994,0,"BI","LT80",NA,NA
1998,0,"BI","LT80",NA,NA
2002,0,"BI","LT80",NA,NA
2006,0,"BI","LT80",NA,NA
2010,0,"BI","LT80",NA,NA
2014,0,"BI","LT80",NA,NA
2018,0,"BI","LT80",NA,NA
2022,0,"BI","LT80",NA,NA
1995,0,"BI","LT80",NA,NA
1999,0,"BI","LT80",NA,NA
2003,0,"BI","LT80",NA,NA
2007,0,"BI","LT80",NA,NA
2011,0,"BI","LT80",NA,NA
2015,0,"BI","LT80",NA,NA
2019,0,"BI","LT80",NA,NA
2023,0,"BI","LT80",NA,NA
1996,0,"BI","LT80",NA,NA
2000,0,"BI","LT80",NA,NA
2004,4,"BI","LT80",10.430143237114,3.98274262375242
2008,0,"BI","LT80",NA,NA
2012,0,"BI","LT80",NA,NA
2016,0,"BI","LT80",NA,NA
2020,0,"BI","LT80",NA,NA
2021,0,"BI","LT80",NA,NA
2022,0,"BI","LT80",NA,NA
2023,0,"BI","LT80",NA,NA
1993,1,"DMV","0",85.068178653717,NA
1997,1,"DMV","0",40.2776575088501,NA
2001,0,"DMV","0",NA,NA
2005,0,"DMV","0",NA,NA
2009,10,"DMV","0",47.4023530960083,30.4517952061157
2013,0,"DMV","0",NA,NA
2017,1,"DMV","0",20.4471879005432,NA
2021,0,"DMV","0",NA,NA
1994,1,"DMV","0",20.5724358558655,NA
1998,1,"DMV","0",144.754234790802,NA
2002,0,"DMV","0",NA,NA
2006,0,"DMV","0",NA,NA
2010,0,"DMV","0",NA,NA
2014,0,"DMV","0",NA,NA
2018,1,"DMV","0",33.0051274299622,NA
2022,0,"DMV","0",NA,NA
1995,0,"DMV","0",NA,NA
1999,0,"DMV","0",NA,NA
2003,0,"DMV","0",NA,NA
2007,3,"DMV","0",35.9324933687846,50.1974445356803
2011,0,"DMV","0",NA,NA
2015,0,"DMV","0",NA,NA
2019,0,"DMV","0",NA,NA
2023,1,"DMV","0",163.352641582489,NA
1996,0,"DMV","0",NA,NA
2000,1,"DMV","0",20.6793727874756,NA
2004,27,"DMV","0",37.8879869602345,24.9232695597671
2008,1,"DMV","0",33.3984498977661,NA
