"year","ncell","min.val","max.val","dd_mean","dd_sd"
1993,40,"16.5","50",347.318996763229,264.488621344304
1994,137,"16.5","50",234.959007277106,233.15114902737
1995,270,"16.5","50",649.902637771324,440.525528181594
1996,68,"16.5","50",311.429206707898,265.310291762856
1997,84,"16.5","50",320.362428097498,314.847411231764
1998,48,"16.5","50",349.853092908859,310.738806903479
1999,373,"16.5","50",769.549348672657,490.849135948818
2000,164,"16.5","50",420.983915782556,345.189798078013
2001,364,"16.5","50",425.45757150126,374.726083211638
2002,282,"16.5","50",425.689741337553,375.226429017386
2003,128,"16.5","50",315.405849665403,291.454712383641
2004,104,"16.5","50",383.512992216991,276.184684151572
2005,176,"16.5","50",196.217913324183,222.437697322668
2006,208,"16.5","50",465.818911616619,347.847818103043
2007,106,"16.5","50",268.531118320969,325.74649235358
2008,285,"16.5","50",447.769927510044,347.343230094073
2009,268,"16.5","50",371.469996594671,307.735099187285
2010,111,"16.5","50",236.17539070748,253.533284656115
2011,292,"16.5","50",468.675071539944,361.896719209346
2012,209,"16.5","50",423.981185666682,396.474795408505
2013,245,"16.5","50",297.83747258089,222.401691402172
2014,425,"16.5","50",759.405204790901,468.919487362141
2015,583,"16.5","50",823.734397574109,372.922861150477
2016,344,"16.5","50",584.212980913561,383.008582165384
2017,297,"16.5","50",544.366714002307,396.024820977758
2018,165,"16.5","50",533.934819204157,342.816060705625
2019,638,"16.5","50",815.241515368877,369.771304299559
2020,284,"16.5","50",718.991064891009,427.483655327805
2021,363,"16.5","50",247.781550262914,225.18758297115
2022,440,"16.5","50",495.65652031465,326.726739721
2023,388,"16.5","50",501.800156465511,317.390418943569
1993,63,"16","50",318.504927771432,316.674177749827
1994,181,"16","50",267.869856449781,254.056065189125
1995,298,"16","50",705.47718065377,444.369897594753
1996,90,"16","50",345.84563246833,314.55938696089
1997,125,"16","50",303.216713485718,326.905062426605
1998,67,"16","50",348.685181945118,328.613100821226
1999,430,"16","50",812.313600775253,516.736253033442
2000,217,"16","50",433.522603434901,349.368664812321
2001,440,"16","50",468.20253274224,395.449037815483
2002,356,"16","50",451.569635209073,383.813103914669
2003,156,"16","50",327.10583222218,302.770650794228
2004,128,"16","50",376.826337531209,289.201797145487
2005,199,"16","50",231.14774631136,229.898744104897
2006,240,"16","50",509.306894334157,358.471832121815
2007,139,"16","50",281.693775506328,336.461514596531
2008,313,"16","50",503.792197486463,372.765707071852
2009,313,"16","50",428.517019332788,331.034301959106
2010,139,"16","50",279.75393727529,277.504373636431
2011,376,"16","50",495.172000119027,390.420521949084
2012,282,"16","50",445.323351034881,403.359126389883
2013,297,"16","50",367.744036594224,249.896943233797
2014,478,"16","50",798.119812310989,492.875429230958
2015,625,"16","50",922.702540048218,411.256041578108
2016,366,"16","50",655.862638697598,400.229642096875
2017,340,"16","50",573.525602705338,417.548160183887
2018,203,"16","50",525.259742210651,361.344200665372
2019,670,"16","50",906.827472160112,406.395654586874
2020,311,"16","50",783.777519937497,456.024014452781
2021,501,"16","50",297.183121172968,230.462761104125
2022,492,"16","50",565.414636115718,357.852383284176
2023,412,"16","50",565.910500651424,333.434214381946
1993,30,"17.5","50",214.795696576436,156.821235449885
1994,75,"17.5","50",199.001683273315,174.31139682643
1995,213,"17.5","50",546.644709063248,405.050239299101
1996,41,"17.5","50",273.573783223222,251.238313398351
1997,46,"17.5","50",306.005027066106,264.457378390618
1998,31,"17.5","50",268.319722267889,263.533584508966
1999,287,"17.5","50",647.254883968872,444.508339594124
2000,96,"17.5","50",334.145518223445,275.739936451374
2001,249,"17.5","50",307.488633282213,295.534924262302
2002,182,"17.5","50",353.944190874205,350.136962190391
2003,76,"17.5","50",316.9355279019,251.814034052126
2004,77,"17.5","50",351.366184977742,255.344997204213
2005,99,"17.5","50",173.288276942089,204.978598564794
2006,135,"17.5","50",409.063819150571,306.624635791054
2007,54,"17.5","50",250.507380026358,332.813344875198
2008,227,"17.5","50",357.966794203031,288.76694105406
2009,161,"17.5","50",372.78330363398,271.155817126225
2010,58,"17.5","50",182.14992434403,195.913772255269
2011,187,"17.5","50",365.630319778932,320.31327703763
2012,113,"17.5","50",387.25548026836,358.476800126221
2013,145,"17.5","50",244.965924927284,184.821744220269
2014,325,"17.5","50",678.081319568341,425.635003503866
2015,533,"17.5","50",521.389058139937,343.16714346051
2016,265,"17.5","50",496.020066610372,337.000637827219
2017,243,"17.5","50",434.011152675613,356.87632633858
2018,127,"17.5","50",496.956673058938,320.414943979301
2019,574,"17.5","50",559.24356403085,311.607500564741
2020,246,"17.5","50",546.127342022531,369.654743647746
2021,184,"17.5","50",197.590542399365,222.258456290916
2022,311,"17.5","50",340.665638638463,223.563806336775
2023,316,"17.5","50",386.128727852544,272.70133155097
1993,21,"17","50",240.23337990897,145.714341237086
1994,86,"17","50",167.979879800663,161.752844006777
1995,207,"17","50",537.17900124149,387.186155683751
1996,37,"17","50",245.328932736371,218.87174176178
1997,44,"17","50",257.583237431266,229.50694386672
1998,29,"17","50",192.286369849896,216.989541032048
1999,292,"17","50",668.309159135165,438.77928316016
2000,98,"17","50",350.385758750293,301.475402749066
2001,270,"17","50",331.646561085736,304.807430959497
2002,204,"17","50",330.675457140979,338.511991866085
2003,76,"17","50",251.494920379237,216.474784852281
2004,72,"17","50",325.209519545237,237.057401357087
2005,113,"17","50",122.441166970582,139.440337590322
2006,139,"17","50",379.293489950166,300.7773740853
2007,52,"17","50",198.892691135406,229.93343242933
2008,226,"17","50",357.28921469123,285.032689983992
2009,181,"17","50",310.447725106339,259.685049609491
2010,63,"17","50",149.647339805724,146.511898070772
2011,208,"17","50",354.52382172988,304.505271448847
2012,125,"17","50",331.410988708496,343.545964489951
2013,167,"17","50",237.938669341767,167.340638373952
2014,341,"17","50",673.905549494053,438.308583411432
2015,531,"17","50",632.231311033001,344.535879910692
2016,284,"17","50",469.125203643047,329.238125233056
2017,233,"17","50",445.042104983023,337.904553556539
2018,110,"17","50",508.73771981326,302.36967828977
2019,586,"17","50",673.045639887605,340.335457158504
2020,230,"17","50",575.644411485091,353.863985600964
2021,241,"17","50",179.937928852699,165.192583976843
2022,331,"17","50",397.050072580666,262.397562065087
2023,323,"17","50",411.218582230087,276.681186314294
1993,19,"18.5","50",142.837196550871,137.411254971992
1994,46,"18.5","50",118.627662078194,101.189447857939
1995,146,"18.5","50",481.012448193276,370.464001456779
1996,20,"18.5","50",298.21425113678,237.153537655901
1997,36,"18.5","50",194.678344514635,204.376611643071
1998,17,"18.5","50",209.80179753023,184.458347745216
1999,230,"18.5","50",467.373102644215,397.805031173536
2000,60,"18.5","50",253.895556863149,236.693078747761
2001,134,"18.5","50",258.79743998798,275.017074932252
2002,101,"18.5","50",357.88586860128,336.780494908666
2003,56,"18.5","50",280.835112503597,212.604326899405
2004,58,"18.5","50",273.71885592362,245.303827566854
2005,42,"18.5","50",171.41466376895,187.895566188457
2006,88,"18.5","50",307.174490126697,224.318435634635
2007,25,"18.5","50",278.236803894043,294.475452145683
2008,163,"18.5","50",296.394157947938,249.522815193804
2009,109,"18.5","50",339.119919068223,256.519626500831
2010,24,"18.5","50",137.858710686366,143.213604696642
2011,98,"18.5","50",288.212424414498,280.906153274099
2012,58,"18.5","50",324.991910737136,309.807579048161
2013,27,"18.5","50",179.827336346662,152.632175392901
2014,254,"18.5","50",567.15836129977,381.812736096498
2015,444,"18.5","50",321.729997746579,292.979944814434
2016,186,"18.5","50",353.260897092922,283.983713473373
2017,181,"18.5","50",337.20771125667,305.949488401511
2018,99,"18.5","50",462.016136169434,332.302586712665
2019,429,"18.5","50",379.06269321575,275.97535683244
2020,213,"18.5","50",351.007144113102,290.538939592109
2021,79,"18.5","50",183.9444173499,210.762058810848
2022,150,"18.5","50",206.554328371684,181.234512142451
2023,230,"18.5","50",265.90821647644,215.956914786217
1993,15,"18","50",107.853669865926,95.1270112982288
1994,44,"18","50",130.909960486672,116.675236318887
1995,150,"18","50",438.930706621806,349.484084011746
1996,18,"18","50",184.987742212084,184.763405611888
1997,29,"18","50",152.297790921968,130.498727951656
1998,12,"18","50",137.139202435811,144.29990801446
1999,229,"18","50",497.134402520792,388.172671697977
2000,52,"18","50",280.228544895466,230.432733554391
2001,175,"18","50",202.998436551775,222.102098922873
2002,106,"18","50",331.455964358348,326.983265369152
2003,49,"18","50",223.287628952338,171.340471112477
2004,57,"18","50",252.926994792202,200.240689250676
2005,45,"18","50",111.115351740519,126.849610092093
2006,88,"18","50",289.283486843109,234.293003552619
2007,20,"18","50",155.916240501404,201.305931022992
2008,165,"18","50",283.943277243412,227.680603887999
2009,103,"18","50",304.011671695894,231.502473715956
2010,27,"18","50",92.1668448271575,87.1880077489692
2011,111,"18","50",265.170138951894,249.495829198933
2012,53,"18","50",314.385848783097,279.820716241242
2013,73,"18","50",126.972279509453,121.697770357613
2014,249,"18","50",592.160086842426,364.708688326902
2015,471,"18","50",368.904621788397,277.71637467092
2016,190,"18","50",369.170495665701,274.243430387908
2017,183,"18","50",323.730693035438,284.473833891126
2018,87,"18","50",444.333215099642,309.139387831868
2019,493,"18","50",419.170044367018,282.575284119424
2020,198,"18","50",387.544758189808,286.464138511886
2021,94,"18","50",159.729670402851,168.503695439525
2022,240,"18","50",194.99409828186,178.687725805284
2023,242,"18","50",294.415023157419,219.627928652595
1993,3,"19","50",133.439986546834,131.101316114771
1994,23,"19","50",83.1840770555579,78.3986200602892
1995,90,"19","50",370.399521785312,296.18373903887
1996,11,"19","50",108.967359542847,142.125792430258
1997,16,"19","50",102.742211818695,84.193796893625
1998,3,"19","50",52.0313727060954,56.7356870312344
1999,157,"19","50",356.342791551238,312.406453414535
2000,32,"19","50",157.650832176208,140.28234495524
2001,70,"19","50",194.879839869908,221.781816153629
2002,45,"19","50",380.899890899658,257.008052438268
2003,35,"19","50",174.861194719587,134.56983179067
2004,31,"19","50",213.650055916079,167.413171298859
2005,15,"19","50",122.637549972534,109.715549724315
