"year","SAM","min.val","max.val","dd_mean","dd_sd"
1994,"BI_LT80","16.5","50",NA,NA
2001,"BI_LT80","16.5","50",NA,NA
2008,"BI_LT80","16.5","50",NA,NA
2015,"BI_LT80","16.5","50",58.1541481018066,55.1034425135326
2022,"BI_LT80","16.5","50",NA,NA
1993,"BI_LT80","16","50",NA,NA
2000,"BI_LT80","16","50",NA,NA
2007,"BI_LT80","16","50",NA,NA
2014,"BI_LT80","16","50",57.8626365661621,NA
2021,"BI_LT80","16","50",NA,NA
1996,"BI_LT80","17.5","50",NA,NA
2003,"BI_LT80","17.5","50",NA,NA
2010,"BI_LT80","17.5","50",NA,NA
2017,"BI_LT80","17.5","50",NA,NA
1995,"BI_LT80","17","50",38.6109809875488,27.7210814554242
2002,"BI_LT80","17","50",NA,NA
2009,"BI_LT80","17","50",38.1715126037598,NA
2016,"BI_LT80","17","50",28.9379100799561,13.9128486756368
2023,"BI_LT80","17","50",NA,NA
1998,"BI_LT80","18.5","50",NA,NA
2005,"BI_LT80","18.5","50",NA,NA
2012,"BI_LT80","18.5","50",NA,NA
2019,"BI_LT80","18.5","50",19.107364654541,NA
1997,"BI_LT80","18","50",NA,NA
2004,"BI_LT80","18","50",19.137393951416,NA
2011,"BI_LT80","18","50",NA,NA
2018,"BI_LT80","18","50",163.713985170637,141.985275733154
1999,"BI_LT80","19","50",98.4885692596436,NA
2006,"BI_LT80","19","50",NA,NA
2013,"BI_LT80","19","50",NA,NA
2020,"BI_LT80","19","50",NA,NA
1994,"DMV_LT80","16.5","50",46.3314344882965,33.0854931333204
2001,"DMV_LT80","16.5","50",202.226573610306,175.471952024079
2008,"DMV_LT80","16.5","50",237.000477350675,204.725424477111
2015,"DMV_LT80","16.5","50",499.810311864634,349.10448955648
2022,"DMV_LT80","16.5","50",91.8407168755164,83.9837220256116
1993,"DMV_LT80","16","50",NA,NA
2000,"DMV_LT80","16","50",68.5003356933594,42.1663480032387
2007,"DMV_LT80","16","50",NA,NA
2014,"DMV_LT80","16","50",606.481109657288,354.095803814136
2021,"DMV_LT80","16","50",48.0694446563721,13.5689546683726
1996,"DMV_LT80","17.5","50",NA,NA
2003,"DMV_LT80","17.5","50",58.0820026397705,28.3814234422022
2010,"DMV_LT80","17.5","50",NA,NA
2017,"DMV_LT80","17.5","50",167.716855823994,116.002650405417
1995,"DMV_LT80","17","50",486.607562337603,419.96199331205
2002,"DMV_LT80","17","50",87.8347573280334,49.3071634930901
2009,"DMV_LT80","17","50",290.582415262858,228.477957999874
2016,"DMV_LT80","17","50",339.625316012989,280.747033983754
2023,"DMV_LT80","17","50",151.677902149704,147.524596618563
1998,"DMV_LT80","18.5","50",NA,NA
2005,"DMV_LT80","18.5","50",49.5450649261475,33.3718894263967
2012,"DMV_LT80","18.5","50",242.251090367635,238.36374552681
2019,"DMV_LT80","18.5","50",526.238017135196,213.732878539717
1997,"DMV_LT80","18","50",NA,NA
2004,"DMV_LT80","18","50",NA,NA
2011,"DMV_LT80","18","50",179.288705825806,138.241823252827
2018,"DMV_LT80","18","50",57.8040409088135,NA
1999,"DMV_LT80","19","50",543.807324000767,422.746104506044
2006,"DMV_LT80","19","50",207.865966558456,186.062464432521
2013,"DMV_LT80","19","50",NA,NA
2020,"DMV_LT80","19","50",214.211680996803,169.538048224918
1994,"ET_LT80","16.5","50",NA,NA
2001,"ET_LT80","16.5","50",58.1999273300171,27.2420086808193
2008,"ET_LT80","16.5","50",97.7745722602396,74.9060739294538
2015,"ET_LT80","16.5","50",142.742000131046,115.375420417858
2022,"ET_LT80","16.5","50",59.385397805108,32.3439670274289
1993,"ET_LT80","16","50",NA,NA
2000,"ET_LT80","16","50",NA,NA
2007,"ET_LT80","16","50",NA,NA
2014,"ET_LT80","16","50",234.981736591884,228.212370051073
2021,"ET_LT80","16","50",NA,NA
1996,"ET_LT80","17.5","50",NA,NA
2003,"ET_LT80","17.5","50",NA,NA
2010,"ET_LT80","17.5","50",NA,NA
2017,"ET_LT80","17.5","50",180.401859283447,84.5334730598876
1995,"ET_LT80","17","50",247.833009719849,44.683145084422
2002,"ET_LT80","17","50",NA,NA
2009,"ET_LT80","17","50",NA,NA
2016,"ET_LT80","17","50",162.08065923055,50.9640743452556
2023,"ET_LT80","17","50",123.853349276951,130.573463738841
1998,"ET_LT80","18.5","50",NA,NA
2005,"ET_LT80","18.5","50",NA,NA
2012,"ET_LT80","18.5","50",NA,NA
2019,"ET_LT80","18.5","50",263.50915228354,137.61458703704
1997,"ET_LT80","18","50",NA,NA
2004,"ET_LT80","18","50",NA,NA
2011,"ET_LT80","18","50",19.0414447784424,NA
2018,"ET_LT80","18","50",NA,NA
1999,"ET_LT80","19","50",169.561291077558,138.073735932509
2006,"ET_LT80","19","50",NA,NA
2013,"ET_LT80","19","50",NA,NA
2020,"ET_LT80","19","50",116.664766760433,120.812958100166
1994,"HCS_LT80","16.5","50",NA,NA
2001,"HCS_LT80","16.5","50",NA,NA
2008,"HCS_LT80","16.5","50",NA,NA
2015,"HCS_LT80","16.5","50",71.9404664039612,36.4377381981065
2022,"HCS_LT80","16.5","50",NA,NA
1993,"HCS_LT80","16","50",NA,NA
2000,"HCS_LT80","16","50",NA,NA
2007,"HCS_LT80","16","50",NA,NA
2014,"HCS_LT80","16","50",57.999605178833,NA
2021,"HCS_LT80","16","50",NA,NA
1996,"HCS_LT80","17.5","50",NA,NA
2003,"HCS_LT80","17.5","50",NA,NA
2010,"HCS_LT80","17.5","50",NA,NA
2017,"HCS_LT80","17.5","50",NA,NA
1995,"HCS_LT80","17","50",NA,NA
2002,"HCS_LT80","17","50",NA,NA
2009,"HCS_LT80","17","50",NA,NA
2016,"HCS_LT80","17","50",NA,NA
2023,"HCS_LT80","17","50",55.4992101192474,26.3427240256363
1998,"HCS_LT80","18.5","50",NA,NA
2005,"HCS_LT80","18.5","50",NA,NA
2012,"HCS_LT80","18.5","50",NA,NA
2019,"HCS_LT80","18.5","50",114.706608884475,84.6194509984833
1997,"HCS_LT80","18","50",NA,NA
2004,"HCS_LT80","18","50",NA,NA
2011,"HCS_LT80","18","50",NA,NA
2018,"HCS_LT80","18","50",NA,NA
1999,"HCS_LT80","19","50",129.721228599548,10.2107841418678
2006,"HCS_LT80","19","50",NA,NA
2013,"HCS_LT80","19","50",NA,NA
2020,"HCS_LT80","19","50",76.6081733703613,NA
1994,"LI_LT80","16.5","50",35.7094424111502,13.2420003340247
2001,"LI_LT80","16.5","50",191.353336334229,171.867738001244
2008,"LI_LT80","16.5","50",126.434489113944,128.863058493749
2015,"LI_LT80","16.5","50",170.748987053623,155.313014780705
2022,"LI_LT80","16.5","50",214.831337087295,160.111564468171
1993,"LI_LT80","16","50",175.851271820068,122.201041036464
2000,"LI_LT80","16","50",170.541565288197,147.008824123221
2007,"LI_LT80","16","50",150.326253467136,169.254970860427
2014,"LI_LT80","16","50",377.626089350382,282.738306689588
2021,"LI_LT80","16","50",222.829032452901,227.566048454413
